"IMAGE","NEWACCT_NO","LINE_STAT","BILL_CYCL","DISTRICT","TENURE","CHURN_REASON","CHURN_GROUP","CURRENT_MTH_CHURN","COSTCENTRE","EFFC_STRT_DATE","EFFC_EXP_DATE"
31-OCT-19,"93874162.001.000064920","AC","01","TSUEN WAN",79,"","","N","SCFY",26-FEB-19,25-FEB-21
30-JUN-19,"93874170.001.000064917","AC","01","KWAI CHUNG",79,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
31-OCT-19,"93874188.001.000064918","IS","01","KWAI CHUNG",79,"","","N","SCFY",,
31-OCT-19,"93875003.001.000064928","AC","01","KWAI CHUNG",79,"","","N","SCFY",01-MAR-18,29-FEB-20
31-OCT-19,"93875037.002.000073594","AC","01","CHAI WAN",79,"","","N","SCFY",26-APR-19,25-APR-21
31-OCT-19,"93875664.001.000064934","AC","01","TUEN MUN",79,"","","N","SCFY",01-APR-19,31-MAR-20
31-OCT-19,"93876480.001.000064946","AC","01","SHEUNG WAN",78,"","","N","SCFY",20-NOV-18,19-NOV-20
28-FEB-19,"93876498.001.000064945","AC","01","SHAM SHUI PO",78,"Closing Business","Closing Business","Y","SCFY",,
31-OCT-19,"93876514.001.000064949","AC","01","TSUEN WAN",78,"","","N","SCFY",01-JAN-19,31-DEC-20
31-OCT-19,"93877702.001.000064976","AC","01","MONG KOK",78,"","","N","SCFY",20-JUN-19,19-JUN-21
31-DEC-18,"93878049.001.000064955","IS","01","TSUEN WAN",78,"(R) Overdue Termination: Involuntary termination by credit control","(R) Overdue Termination","Y","SCFY",,
31-OCT-19,"93878544.001.000064957","AC","01","HUNG HOM",78,"","","N","SCFY",16-APR-19,15-APR-21
31-OCT-19,"93878551.001.000064959","AC","01","KWAI CHUNG",78,"","","N","SCFY",22-MAY-19,21-MAY-21
31-OCT-19,"93878577.001.000064964","AC","01","TSIM SHA TSUI",78,"","","N","SCFY",19-MAR-19,18-MAR-21
31-OCT-19,"93878585.001.000064965","AC","01","CENTRAL DISTRICT",78,"","","N","SCFY",07-NOV-18,06-NOV-20
31-OCT-19,"93878593.001.000064967","AC","01","TUEN MUN",78,"","","N","SCFY",08-APR-19,07-APR-21
31-OCT-19,"93878601.001.000064969","AC","01","TSIM SHA TSUI",78,"","","N","SCFY",30-MAR-19,29-MAR-21
